Antecedente;Consequente;Suporte;Confianca;Lift;Matriz Antecedentes;Matriz Consequentes;Pto Medio Anteced.;Pto Medio Conseq.;Suporte Anteced.;Suporte Conseq.;Dist. Anteced. -> Conseq.;Dist. Anteced. x Origem;Dist. Conseq. x Origem
[6];[1];5;0.5555555555555556;0.1111;[[0.]];[[0.]];"[ 1.27600476e+00  2.31413881e-01  2.82392618e-02 -2.17576381e-01
 -1.48497868e-01 -8.50678824e-02 -4.90013825e-03  1.03269813e-01
  1.59493685e-01 -1.69332894e-01  1.21831258e-03]";"[ 0.64923326  0.84229868 -0.85855611 -0.12718578  0.05116629  0.32359992
 -0.25600142 -0.19578158  0.31623724 -0.06904659 -0.05322078]";9;5;2.699711985422817;2.135999715186046;3.8088252920490215
[1];[6];5;1.0;0.1111;[[0.]];[[0.]];"[ 0.64923326  0.84229868 -0.85855611 -0.12718578  0.05116629  0.32359992
 -0.25600142 -0.19578158  0.31623724 -0.06904659 -0.05322078]";"[ 1.27600476e+00  2.31413881e-01  2.82392618e-02 -2.17576381e-01
 -1.48497868e-01 -8.50678824e-02 -4.90013825e-03  1.03269813e-01
  1.59493685e-01 -1.69332894e-01  1.21831258e-03]";5;9;2.699711985422817;3.8088252920490215;2.135999715186046
[4];[2];3;1.0;0.1667;[[0.]];[[0.]];"[-0.56408457 -0.66633201 -0.79681837 -0.00622597  0.08492091 -0.18577321
  0.29093808 -0.22543313 -0.14603919  0.0087377  -0.07964102]";"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";3;6;3.295510766191108;4.66422408848213;3.2039995727790673
[2];[4];3;0.5;0.1667;[[0.]];[[0.]];"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";"[-0.56408457 -0.66633201 -0.79681837 -0.00622597  0.08492091 -0.18577321
  0.29093808 -0.22543313 -0.14603919  0.0087377  -0.07964102]";6;3;3.295510766191108;3.2039995727790673;4.66422408848213
[5];[2];3;1.0;0.1667;[[0.]];[[0.]];"[-0.71192022  0.43491819  0.76857915  0.22380235  0.06357695  0.27084108
 -0.28603793  0.12216331 -0.0134545   0.16059519  0.07842271]";"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";3;6;3.31986410491342;4.605431154431794;3.2039995727790673
[2];[5];3;0.5;0.1667;[[0.]];[[0.]];"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";"[-0.71192022  0.43491819  0.76857915  0.22380235  0.06357695  0.27084108
 -0.28603793  0.12216331 -0.0134545   0.16059519  0.07842271]";6;3;3.31986410491342;3.2039995727790673;4.605431154431794
[8];[2];4;0.8;0.1333;[[0.]];[[0.]];"[-0.93054152  0.226611   -0.09436894 -0.89921039  0.09609345 -0.25852333
 -0.12697867 -0.16810342  0.01166894 -0.25888233  0.13982548]";"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";5;6;2.7075873792091603;3.5126766197066734;3.2039995727790673
[2];[8];4;0.6666666666666666;0.1333;[[0.]];[[0.]];"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";"[-0.93054152  0.226611   -0.09436894 -0.89921039  0.09609345 -0.25852333
 -0.12697867 -0.16810342  0.01166894 -0.25888233  0.13982548]";6;5;2.7075873792091603;3.2039995727790673;3.5126766197066734
[12];[2];3;0.3;0.05;[[0.]];[[0.]];"[ 0.63050268 -0.68908312  0.19850659  0.8673712   0.47065461 -0.18905094
  0.00428135 -0.32560771  0.16470062  0.05858312  0.13489817]";"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";10;6;6.35990626890128;1.7192753113320216;3.2039995727790673
[2];[12];3;0.5;0.05;[[0.]];[[0.]];"[-1.27600476e+00 -2.31413881e-01 -2.82392618e-02  2.17576381e-01
  1.48497868e-01  8.50678824e-02  4.90013825e-03 -1.03269813e-01
 -1.59493685e-01  1.69332894e-01 -1.21831258e-03]";"[ 0.63050268 -0.68908312  0.19850659  0.8673712   0.47065461 -0.18905094
  0.00428135 -0.32560771  0.16470062  0.05858312  0.13489817]";6;10;6.35990626890128;3.2039995727790673;1.7192753113320216
