Antecedente;Consequente;Suporte;Confiança
[6];[1];5;55.6%
[1];[6];5;100.0%
[4];[2];3;100.0%
[2];[4];3;50.0%
[5];[2];3;100.0%
[2];[5];3;50.0%
[8];[2];4;80.0%
[2];[8];4;66.7%
[12];[2];3;30.0%
[2];[12];3;50.0%
[17];[2];4;80.0%
[2];[17];4;66.7%
[12];[6];7;70.0%
[6];[12];7;77.8%
[13];[6];7;77.8%
[6];[13];7;77.8%
[16];[6];4;80.0%
[6];[16];4;44.4%
[18];[6];4;80.0%
[6];[18];4;44.4%
[12];[7];3;30.0%
[7];[12];3;75.0%
[11];[8];2;66.7%
[8];[11];2;40.0%
[13];[8];3;33.3%
[8];[13];3;60.0%
[12];[9];6;60.0%
[9];[12];6;100.0%
[14];[12];3;100.0%
[12];[14];3;30.0%
[16];[12];4;80.0%
[12];[16];4;40.0%
[17];[12];3;60.0%
[12];[17];3;30.0%
[17];[13];2;40.0%
[13];[17];2;22.2%
[18];[13];4;80.0%
[13];[18];4;44.4%
[6, 7];[1];3;100.0%
[1, 7];[6];3;100.0%
[6, 1];[7];3;60.0%
[7];[1, 6];3;75.0%
[6];[1, 7];3;33.3%
[1];[6, 7];3;60.0%
[12, 6];[1];3;42.9%
[12, 1];[6];3;100.0%
[6, 1];[12];3;60.0%
[12];[1, 6];3;30.0%
[6];[1, 12];3;33.3%
[1];[6, 12];3;60.0%
[6, 13];[1];4;57.1%
[13, 1];[6];4;100.0%
[6, 1];[13];4;80.0%
[13];[1, 6];4;44.4%
[6];[1, 13];4;44.4%
[1];[6, 13];4;80.0%
[6, 18];[1];3;75.0%
[1, 18];[6];3;100.0%
[6, 1];[18];3;60.0%
[18];[1, 6];3;60.0%
[6];[1, 18];3;33.3%
[1];[6, 18];3;60.0%
[12, 4];[2];2;100.0%
[12, 2];[4];2;66.7%
[2, 4];[12];2;66.7%
[12];[2, 4];2;20.0%
[4];[2, 12];2;66.7%
[2];[4, 12];2;33.3%
[17, 4];[2];2;100.0%
[2, 17];[4];2;50.0%
[2, 4];[17];2;66.7%
[17];[2, 4];2;40.0%
[4];[2, 17];2;66.7%
[2];[4, 17];2;33.3%
[17, 5];[2];2;100.0%
[2, 17];[5];2;50.0%
[2, 5];[17];2;66.7%
[17];[2, 5];2;40.0%
[5];[2, 17];2;66.7%
[2];[5, 17];2;33.3%
[8, 17];[2];2;100.0%
[2, 17];[8];2;50.0%
[2, 8];[17];2;50.0%
[17];[2, 8];2;40.0%
[8];[2, 17];2;40.0%
[2];[8, 17];2;33.3%
[12, 9];[6];5;83.3%
[12, 6];[9];5;71.4%
[6, 9];[12];5;100.0%
[12];[6, 9];5;50.0%
[9];[6, 12];5;83.3%
[6];[9, 12];5;55.6%
[12, 13];[6];5;100.0%
[6, 13];[12];5;71.4%
[12, 6];[13];5;71.4%
[13];[6, 12];5;55.6%
[12];[6, 13];5;50.0%
[6];[12, 13];5;55.6%
[12, 18];[6];3;100.0%
[6, 18];[12];3;75.0%
[12, 6];[18];3;42.9%
[18];[6, 12];3;60.0%
[12];[6, 18];3;30.0%
[6];[12, 18];3;33.3%
[13, 16];[6];3;100.0%
[6, 16];[13];3;75.0%
[6, 13];[16];3;42.9%
[16];[6, 13];3;60.0%
[13];[6, 16];3;33.3%
[6];[13, 16];3;33.3%
[13, 18];[6];3;75.0%
[6, 18];[13];3;75.0%
[6, 13];[18];3;42.9%
[18];[6, 13];3;60.0%
[13];[6, 18];3;33.3%
[6];[13, 18];3;33.3%
[12, 14];[7];2;66.7%
[7, 14];[12];2;100.0%
[12, 7];[14];2;66.7%
[14];[7, 12];2;66.7%
[12];[7, 14];2;20.0%
[7];[12, 14];2;50.0%
[13, 18];[8];2;50.0%
[8, 18];[13];2;100.0%
[13, 8];[18];2;66.7%
[18];[8, 13];2;40.0%
[13];[8, 18];2;22.2%
[8];[13, 18];2;40.0%
[12, 17];[9];2;66.7%
[9, 17];[12];2;100.0%
[12, 9];[17];2;33.3%
[17];[9, 12];2;40.0%
[12];[9, 17];2;20.0%
[9];[12, 17];2;33.3%
[16, 15];[12];2;100.0%
[12, 16];[15];2;50.0%
[12, 15];[16];2;100.0%
