Antecedente;Consequente;Dist. Anteced. x Origem;Dist. Conseq. x Origem;Dist. Anteced. -> Conseq.;Dist. Anteced. - Conseq.;Suporte Ant.;Suporte Cons.;Suporte;Confianca;Lift;all-confianca
[6];[1];2.1359995445882305;2.116014066938473;2.699714209481496;0.019985477649757666;0.6;0.333333;0.333333;0.5555555555555556;0.18518481481500002;0.555555
[1];[6];3.80882912931838;3.8448030250618395;2.699714209481496;-0.03597389574345966;0.333333;0.6;0.333333;1.0;0.6;0.555555
[4];[2];4.6642240658087974;6.407998633764691;3.295510761267016;-1.7437745679558931;0.2;0.4;0.2;1.0;0.4;0.5
[2];[4];3.203999316882345;2.3321120329043983;3.295510761267016;0.8718872839779466;0.4;0.2;0.2;0.5;0.1;0.5
[5];[2];4.6054310069588364;6.407998633764691;3.3198641516830425;-1.8025676268058541;0.2;0.4;0.2;1.0;0.4;0.5
[2];[5];3.203999316882345;2.3027155034794182;3.3198641516830425;0.9012838134029266;0.4;0.2;0.2;0.5;0.1;0.5
[8];[2];3.5126801586328846;3.8448030250618395;2.707589205877783;-0.33212286642895483;0.333333;0.4;0.266667;0.8;0.32000072000072;0.6666675
[2];[8];3.203999316882345;2.9272305382939368;2.707589205877783;0.2767687785884081;0.4;0.333333;0.266667;0.6666666666666666;0.22222227777749998;0.6666675
[12];[2];1.71927453962942;1.9223986289300927;6.359904580644763;-0.20312408930067272;0.666667;0.4;0.2;0.3;0.11999994000003;0.30000000000000004
[2];[12];3.203999316882345;2.8654589987778167;6.359904580644763;0.3385403181045281;0.4;0.666667;0.2;0.5;0.3333335;0.30000000000000004
[17];[2];3.0865640960097056;3.8448030250618395;2.0291602286060404;-0.7582389290521339;0.333333;0.4;0.266667;0.8;0.32000072000072;0.6666675
[2];[17];3.203999316882345;2.5721341745380073;2.0291602286060404;0.6318651423443375;0.4;0.333333;0.266667;0.6666666666666666;0.22222227777749998;0.6666675
[12];[6];1.71927453962942;1.9223986289300927;2.6822700099073344;-0.20312408930067272;0.666667;0.6;0.466667;0.7;0.420000089999955;0.7000005
[6];[12];2.1359995445882305;1.9103059991852107;2.6822700099073344;0.22569354540301978;0.6;0.666667;0.466667;0.7777777777777778;0.5185191481483333;0.7000005
[13];[6];2.1259684496892204;2.1359995445882305;2.192437355249663;-0.010031094899010107;0.6;0.6;0.466667;0.7777777777777778;0.466667;0.7777783333333333
[6];[13];2.1359995445882305;2.1259684496892204;2.192437355249663;0.010031094899010107;0.6;0.6;0.466667;0.7777777777777778;0.466667;0.7777783333333333
[16];[6];3.0214205694875305;3.8448030250618395;3.37793167789944;-0.823382455574309;0.333333;0.6;0.266667;0.8;0.48000108000108;0.444445
[6];[16];2.1359995445882305;1.6785653044816449;3.37793167789944;0.4574342401065856;0.6;0.333333;0.266667;0.4444444444444444;0.14814818518499998;0.444445
[18];[6];3.0773699683615603;3.8448030250618395;3.513436914057176;-0.7674330567002792;0.333333;0.6;0.266667;0.8;0.48000108000108;0.444445
[6];[18];2.1359995445882305;1.709648272773107;3.513436914057176;0.42635127181512344;0.6;0.333333;0.266667;0.4444444444444444;0.14814818518499998;0.444445
[12];[7];1.71927453962942;1.698330712015921;5.400886677889598;0.020943827613499;0.666667;0.266667;0.2;0.3;0.08000005999997;0.30000000000000004
[7];[12];4.2458235956736985;4.298183125437818;5.400886677889598;-0.05235952976411973;0.266667;0.666667;0.2;0.75;0.49999962500046885;0.30000000000000004
[11];[8];4.290501155277349;5.8544610765878735;4.498380945826538;-1.5639599213105244;0.2;0.333333;0.133333;0.6666666666666666;0.22222144444499997;0.39999900000000005
[8];[11];3.5126801586328846;2.5743032674696757;4.498380945826538;0.9383768911632089;0.333333;0.2;0.133333;0.4;0.07999987999988001;0.39999900000000005
[13];[8];2.1259684496892204;1.9514870255292913;5.5009222783164695;0.17448142415992907;0.6;0.333333;0.2;0.3333333333333333;0.11111100000000002;0.33333333333333337
[8];[13];3.5126801586328846;3.8267470361876343;5.5009222783164695;-0.3140668775547497;0.333333;0.6;0.2;0.6;0.36000036000036;0.33333333333333337
[12];[9];1.71927453962942;2.1725116451148634;2.2121881815483326;-0.4532371054854434;0.666667;0.4;0.4;0.6;0.23999988000006;0.6000000000000001
[9];[12];3.620854552284477;2.8654589987778167;2.2121881815483326;0.7553955535066601;0.4;0.666667;0.4;1.0;0.666667;0.6000000000000001
[14];[12];4.377593933444959;5.7309179975556335;3.8622627559382057;-1.3533240641106747;0.2;0.666667;0.2;1.0;0.666667;0.30000000000000004
[12];[14];1.71927453962942;1.313277523394726;3.8622627559382057;0.405997016234694;0.666667;0.2;0.2;0.3;0.059999970000015;0.30000000000000004
[16];[12];3.0214205694875305;3.438554237087617;3.6960965690195455;-0.4171336676000865;0.333333;0.666667;0.266667;0.8;0.5333348000018;0.4000005
[12];[16];1.71927453962942;1.510708018679471;3.6960965690195455;0.20856652094994899;0.666667;0.333333;0.266667;0.4;0.13333329999985;0.4000005
[17];[12];3.0865640960097056;3.438554237087617;4.933155742301185;-0.3519901410779114;0.333333;0.666667;0.2;0.6;0.40000060000060006;0.30000000000000004
[12];[17];1.71927453962942;1.5432797330829382;4.933155742301185;0.1759948065464818;0.666667;0.333333;0.2;0.3;0.099999850000075;0.30000000000000004
[17];[13];3.0865640960097056;3.8267470361876343;7.20248081796544;-0.7401829401779287;0.333333;0.6;0.133333;0.4;0.23999963999964002;0.22222166666666668
[13];[17];2.1259684496892204;1.7147561163586715;7.20248081796544;0.41121233333054885;0.6;0.333333;0.133333;0.2222222222222222;0.074073814815;0.22222166666666668
[18];[13];3.0773699683615603;3.8267470361876343;3.141560679512803;-0.749377067826074;0.333333;0.6;0.266667;0.8;0.48000108000108;0.444445
[13];[18];2.1259684496892204;1.709648272773107;3.141560679512803;0.41632017691611334;0.6;0.333333;0.266667;0.4444444444444444;0.14814818518499998;0.444445
[6, 7];[1];3.5568161375746876;6.34804220081542;1.4280692510416138;-2.791226063240732;0.2;0.333333;0.2;1.0;0.333333;0.33333333333333337
[1, 7];[6];5.020900545280599;6.407998633764691;4.439181423496711;-1.387098088484092;0.2;0.6;0.2;1.0;0.6;0.33333333333333337
[6, 1];[7];3.00185306340106;3.396666519029073;3.8155535149462447;-0.39481345562801273;0.333333;0.266667;0.2;0.6;0.16000036000036;0.33333333333333337
[7];[1, 6];4.2458235956736985;3.7523078865501382;3.8155535149462447;0.49351570912356024;0.266667;0.333333;0.2;0.75;0.24999943750070316;0.33333333333333337
[6];[1, 7];2.1359995445882305;1.6736335150935326;4.439181423496711;0.46236602949469785;0.6;0.2;0.2;0.3333333333333333;0.06666666666666668;0.33333333333333337
[1];[6, 7];3.80882912931838;2.1340918166366296;1.4280692510416138;1.6747373126817502;0.333333;0.2;0.2;0.6;0.12000012000012002;0.33333333333333337
[12, 6];[1];1.698029016208491;2.720587571358343;4.1879503700245495;-1.022558555149852;0.466667;0.333333;0.2;0.42857142857142855;0.1428568979593586;0.30000000000000004
[12, 1];[6];2.506127240947593;6.407998633764691;1.476613866407391;-3.9018713928170974;0.2;0.6;0.2;1.0;0.6;0.30000000000000004
[6, 1];[12];3.00185306340106;3.438554237087617;4.370067184010635;-0.4367011736865569;0.333333;0.666667;0.2;0.6;0.40000060000060006;0.30000000000000004
[12];[1, 6];1.71927453962942;1.500924280311858;4.370067184010635;0.2183502593175619;0.666667;0.333333;0.2;0.3;0.099999850000075;0.30000000000000004
[6];[1, 12];2.1359995445882305;0.8353757469825311;1.476613866407391;1.3006237976056993;0.6;0.2;0.2;0.3333333333333333;0.06666666666666668;0.30000000000000004
[1];[6, 12];3.80882912931838;2.3772446979656014;4.1879503700245495;1.4315844313527784;0.333333;0.466667;0.2;0.6;0.28000048000048006;0.30000000000000004
[6, 13];[1];2.035123107045894;2.720587571358343;3.234135650712964;-0.685464464312449;0.466667;0.333333;0.266667;0.5714285714285714;0.1904761020406414;0.444445
[13, 1];[6];2.955541667508082;4.805992967832308;1.725322109443452;-1.8504513003242264;0.266667;0.6;0.266667;1.0;0.6;0.444445
[6, 1];[13];3.00185306340106;3.8267470361876343;3.0604519876553917;-0.8248939727865743;0.333333;0.6;0.266667;0.8;0.48000108000108;0.444445
[13];[1, 6];2.1259684496892204;1.6676944786377756;3.0604519876553917;0.45827397105144474;0.6;0.333333;0.266667;0.4444444444444444;0.14814818518499998;0.444445
[6];[1, 13];2.1359995445882305;1.3135757164156292;1.725322109443452;0.8224238281726013;0.6;0.266667;0.266667;0.4444444444444444;0.11851881481499998;0.444445
[1];[6, 13];3.80882912931838;2.8491772341645913;3.234135650712964;0.9596518951537885;0.333333;0.466667;0.266667;0.8;0.37333444000144;0.444445
